releaseName,bromaReleaseId,dbState,releaseId,trackId,errorMessage,bsonFixed,bromaStatus,hopeless
"Hum Tumko","46788","failed","6a49b3594028dc69f7855fe6","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Hum Unse Mohabbat","44672","delivered","6a49b5644028dc69f7855fef","","","false","NOT_IN_BROMA",""
"Hum Yaar Hai Tumhare","44673","delivered","6a49b6134028dc69f7855ff2","","","false","NOT_IN_BROMA",""
"Ankhiyon Ke Jharokhon Se","46787","failed","6a49b66c4028dc69f7855ff5","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Hum Yaar Hai","44671","delivered","6a49b6df4028dc69f7855ff8","","","false","NOT_IN_BROMA",""
"Apni Zulfein Mere Shaanon Pe","46786","failed","6a49b6e44028dc69f7855ffb","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Armaan Hamare","44668","cancelled","6a49b7524028dc69f7855ffe","","","false","NOT_IN_BROMA",""
"Humko Deewana Kar","44669","delivered","6a49b7584028dc69f7856001","","","false","NOT_IN_BROMA",""
"Aur is Dil Mein","46785","failed","6a49b7ad4028dc69f7856005","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Humko Tumse Pyaar Hai","44665","delivered","6a49b7cf4028dc69f785600a","","","false","NOT_IN_BROMA",""
"Humse Sajna Kyon","44667","delivered","6a49b8414028dc69f785600d","","","false","NOT_IN_BROMA",""
"Humse Sajna","44664","delivered","6a49b8bf4028dc69f7856010","","","false","NOT_IN_BROMA",""
"Bahot Khubsurat Hai Mera Sanam","46784","failed","6a49b8e14028dc69f7856013","","Missing Broma outlet ids","true","NOT_IN_BROMA","YES"
"Is Pyar Se Meri Taraf Na","44660","delivered","6a49b9714028dc69f7856016","","","false","NOT_IN_BROMA",""
"Pyar Se Meri","44661","delivered","6a49ba1b4028dc69f785601c","","","false","NOT_IN_BROMA",""
"Bahut Der Se Dar Pe Aankh","44662","delivered","6a49ba4e4028dc69f785601f","","","false","NOT_IN_BROMA",""
"Bahut Pyar Karte Hain","44659","delivered","6a49bab04028dc69f7856025","","","true","NOT_IN_BROMA",""
"Ishq Na Karna","44658","delivered","6a49bab64028dc69f7856028","","","false","NOT_IN_BROMA",""
"Bas Tu Hi Tu Meri Dua","44655","delivered","6a49bb1f4028dc69f785602b","","","false","NOT_IN_BROMA",""
