relName,bid,state,releaseId,trackId,error,bsonTag,category,bromaModStatus,bromaStep,inDrafts,inReleases
"Teri Do Takiya Di Naukri",43722,delivered,6a45e12f85cfdba38620b07e,,"",,NOT_IN_BROMA,-,-,false,false
"Teri Najar Mein Sapne Hain",43719,delivered,6a45e1c885cfdba38620b081,,"",,NOT_IN_BROMA,-,-,false,false
"Teri Yaadon Ki Chadar Odhe",43717,delivered,6a45e22485cfdba38620b084,,"",,NOT_IN_BROMA,-,-,false,false
"Tune O Rangile Kaisa Jaadu Kiya",43716,delivered,6a45e2cc85cfdba38620b087,,"",,NOT_IN_BROMA,-,-,false,false
"Uska Mat Ban Jana Jogi",43713,cancelled,6a45e3e285cfdba38620b08a,,"Release deleted by admin",,NOT_IN_BROMA,-,-,false,false
"Baharon Phool Barsao Mera Mehboob Aaya Hai",43712,delivered,6a45e76485cfdba38620b08d,,"",,NOT_IN_BROMA,-,-,false,false
"Chhor Ke Na Jao Piya",43708,delivered,6a45e7c185cfdba38620b093,,"",,NOT_IN_BROMA,-,-,false,false
"Can Enchanting",43704,delivered,6a45e7df85cfdba38620b096,,"",,NOT_IN_BROMA,-,-,false,false
"Dil Hai Ke Maanta Nahi",43703,delivered,6a45e86685cfdba38620b099,,"",,NOT_IN_BROMA,-,-,false,false
"Haal Kya Hai",43702,delivered,6a45e92d85cfdba38620b09c,,"",,NOT_IN_BROMA,-,-,false,false
"Hum Aise Karenge Pyar Ki Duniya Yaad Kare",43699,delivered,6a45e9a285cfdba38620b09f,,"",,NOT_IN_BROMA,-,-,false,false
"Kagaj Kalam Dawaat La",43698,cancelled,6a45ea2f85cfdba38620b0a2,,"Release deleted by admin",,NOT_IN_BROMA,-,-,false,false
"Maine Pee Hai Ishq Wali",43695,delivered,6a45ea7f85cfdba38620b0a5,,"",,NOT_IN_BROMA,-,-,false,false
"Pardesiya Yeh Sach Hai Piya",43694,delivered,6a45ead885cfdba38620b0a8,,"",,NOT_IN_BROMA,-,-,false,false
"Tu Chanda Main Chandni",43692,delivered,6a45edea85cfdba38620b0ba,,"",,NOT_IN_BROMA,-,-,false,false
"Tu Cheez Badi Hai Mast Mast",43690,delivered,6a45ee5985cfdba38620b0bd,,"",,NOT_IN_BROMA,-,-,false,false
